"ID","ID (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)"
"plan2410","4abcf2a882",8,0,737784.0,"Researcher",92223.0,0,8
"plan2409","3bbb320941",8,0,498168.0,"Designer",62271.0,0,8
"plan2408","bca131facd",3,0,227175.0,"Analyst",75725.0,0,3
"plan2407","a0b93c38ad",4,0,518996.0,"Head of Marketing and Sales",129749.0,0,4
"plan2406","ca0dc191ed",0,0,0.0,"Designer",91201.0,0,0
"plan2404","69000603ed",6,0,702978.0,"Project Manager",117163.0,0,6
"plan2403","25ff029902",0,0,0.0,"Secretary",122760.0,0,0
"plan2402","4a73e1ae45",0,0,0.0,"Project Manager",60851.0,0,0
"plan2401","31ff25a32c",0,0,0.0,"Researcher",131066.0,0,0
"plan2400","8b1ecf26ec",0,0,0.0,"Accountant",95325.0,0,0
"plan2399","ae15579148",2,0,162782.0,"Administrative Officer",81391.0,0,2
"plan2397","07a1fb3325",7,0,512358.0,"Head of Marketing and Sales",73194.0,0,7
"plan2395","bf4bdb7a79",2,0,122086.0,"Head of Marketing and Sales",61043.0,0,2
"plan2394","fbcaa9cc9b",0,0,0.0,"Secretary",144338.0,0,0
"plan2393","acf9f90c97",0,0,0.0,"Associate",87231.0,0,0
"plan2392","dc267b8f86",3,0,257904.0,"Designer",85968.0,0,3
"plan2390","2dfd91f8bf",6,0,344856.0,"Business Development Manager",57476.0,0,6
"plan2389","a148d76e95",9,0,702918.0,"Accountant",78102.0,0,9
"plan2388","e1ec883be9",11,0,586498.0,"Administrative Officer",53318.0,0,11
"plan2386","ad4487bb17",0,0,0.0,"Project Manager",126763.0,0,0
"plan2385","c67abc937d",6,0,306336.0,"Researcher",51056.0,0,6
"plan2382","b4bd806c56",8,0,404192.0,"Accountant",50524.0,0,8
"plan2380","db0c0cf43c",4,0,356708.0,"Software Developer",89177.0,0,4
"plan2379","a1535516df",4,0,380764.0,"Project Manager",95191.0,0,4
"plan2377","f81aa92ffe",10,0,1454550.0,"Business Development Manager",145455.0,0,10
"plan2374","ac0de65eb9",11,0,1563067.0,"HR Manager",142097.0,0,11
"plan2372","42e593eefe",0,0,0.0,"Secretary",120098.0,0,0
"plan2368","a9d6c2f838",0,0,0.0,"Head of Marketing and Sales",74976.0,0,0
"plan2367","17e4793f49",2,0,213762.0,"Analyst",106881.0,0,2
"plan2365","60dfcda820",0,0,0.0,"Project Manager",70107.0,0,0
"plan2364","87ff21aab7",0,0,0.0,"Head of Marketing and Sales",110130.0,0,0
"plan2361","63684a28b2",0,0,0.0,"Analyst",104793.0,0,0
"plan2360","aeb4772e2d",0,0,0.0,"Administrative Officer",95123.0,0,0
"plan2357","e8361a43ba",11,0,1509299.0,"Head of Marketing and Sales",137209.0,0,11
"plan2356","5d9caaa82f",11,0,1171049.0,"Secretary",106459.0,0,11
"plan2355","5411c5fb62",5,0,585785.0,"Business Development Manager",117157.0,0,5
"plan2354","7a619018ab",10,0,1078340.0,"Researcher",107834.0,0,10
"plan2353","534601f523",0,0,0.0,"Administrative Officer",77048.0,0,0
"plan2352","fd2e19a28f",0,0,0.0,"Engineer",114524.0,0,0
"plan2351","9e5a8fdae0",7,0,936488.0,"Business Development Manager",133784.0,0,7
"plan2349","7af146d894",9,0,548199.0,"Associate",60911.0,0,9
"plan2347","cf505462c3",11,0,1122836.0,"Engineer",102076.0,0,11
"plan2346","aff1370b49",0,0,0.0,"Accountant",61838.0,0,0
"plan2345","7ac7b3436d",10,0,1168780.0,"Engineer",116878.0,0,10
"plan2344","ca80bf2741",0,0,0.0,"Analyst",149145.0,0,0
"plan2342","a34db66794",0,0,0.0,"Designer",99576.0,0,0
"plan2339","27a8bc8606",0,0,0.0,"Project Manager",50142.0,0,0
"plan2336","bdcc77ef04",3,0,444672.0,"Head of Marketing and Sales",148224.0,0,3
"plan2335","77d616308c",9,0,644607.0,"Administrative Officer",71623.0,0,9
"plan2334","36d28904a0",3,0,255612.0,"Project Manager",85204.0,0,3
"plan2332","33d2b9b092",0,0,0.0,"Associate",114914.0,0,0
"plan2331","826e2ee86a",0,0,0.0,"Business Development Manager",117570.0,0,0
"plan2329","fa89d089fa",4,0,435348.0,"Accountant",108837.0,0,4
"plan2328","53d31657c2",9,0,934947.0,"Project Manager",103883.0,0,9
"plan2327","6c31a4b316",2,0,294784.0,"Secretary",147392.0,0,2
"plan2325","9dd4804cca",9,0,578421.0,"Designer",64269.0,0,9
"plan2324","58922cd4fd",6,0,818736.0,"Engineer",136456.0,0,6
"plan2323","4ac736902a",0,0,0.0,"Engineer",70360.0,0,0
"plan2321","425ee33d41",8,0,888264.0,"Researcher",111033.0,0,8
"plan2320","2b6da1742e",8,0,557040.0,"Accountant",69630.0,0,8
"plan2319","fde7e6f071",5,0,632110.0,"Engineer",126422.0,0,5
"plan2318","4ffb47989f",3,0,304731.0,"Secretary",101577.0,0,3
"plan2317","b2a3a679d4",11,0,1279322.0,"Project Manager",116302.0,0,11
"plan2316","e4cb89dac8",9,0,1016361.0,"Project Manager",112929.0,0,9
"plan2315","638e4815ed",0,0,0.0,"Engineer",72402.0,0,0
"plan2313","d13774af7f",11,0,861366.0,"Associate",78306.0,0,11
"plan2308","c502a03aec",0,0,0.0,"Business Development Manager",109120.0,0,0
"plan2307","09d2a13ee4",0,0,0.0,"Project Manager",61040.0,0,0
"plan2306","a9942a6189",3,0,175212.0,"Head of Marketing and Sales",58404.0,0,3
"plan2305","8612653fc4",8,0,1169720.0,"Designer",146215.0,0,8
"plan2304","beff62bddf",9,0,747108.0,"Researcher",83012.0,0,9
"plan2303","83592b06c9",7,0,913878.0,"Business Development Manager",130554.0,0,7
"plan2302","3039a3a071",0,0,0.0,"Software Developer",118860.0,0,0
"plan2300","16c0948f2b",0,0,0.0,"Head of Marketing and Sales",135932.0,0,0
"plan2296","51084246b5",6,0,787590.0,"Software Developer",131265.0,0,6
"plan2295","d3f317c4ef",10,0,1126310.0,"Business Development Manager",112631.0,0,10
"plan2294","69a9487e8c",7,0,606389.0,"Business Development Manager",86627.0,0,7
"plan2293","3352c657d1",2,0,266036.0,"Designer",133018.0,0,2
"plan2291","bf0966c11c",0,0,0.0,"Software Developer",96185.0,0,0
"plan2289","84d1a1708b",6,0,676698.0,"Software Developer",112783.0,0,6
"plan2288","e88b5e380f",0,0,0.0,"Engineer",64077.0,0,0
"plan2287","df0acd67c4",8,0,647552.0,"Engineer",80944.0,0,8
"plan2286","694547201b",9,0,873612.0,"Secretary",97068.0,0,9
"plan2285","572330f93e",5,0,548115.0,"Secretary",109623.0,0,5
"plan2284","691f3de135",0,0,0.0,"Business Development Manager",53274.0,0,0
"plan2281","76ce4b5fd1",8,0,671664.0,"Business Development Manager",83958.0,0,8
"plan2280","f8cc505687",0,0,0.0,"Project Manager",53319.0,0,0
"plan2279","9369e2eae2",0,0,0.0,"Administrative Officer",124222.0,0,0
"plan2278","84fe9d9f8c",0,0,0.0,"Associate",90966.0,0,0
"plan2277","b5f52325ee",0,0,0.0,"Software Developer",147516.0,0,0
"plan2276","6bb04fd4bf",10,0,1024600.0,"Designer",102460.0,0,10
"plan2275","6bb27b7314",0,0,0.0,"Analyst",141307.0,0,0
"plan2274","b4c49df653",0,0,0.0,"Head of Marketing and Sales",65689.0,0,0
"plan2273","0f9fe090cc",0,0,0.0,"HR Manager",80195.0,0,0
"plan2270","957dc70a5d",7,0,486486.0,"Researcher",69498.0,0,7
"plan2269","29a28b2dec",5,0,324455.0,"Secretary",64891.0,0,5
"plan2268","ff8af8a377",5,0,428925.0,"Business Development Manager",85785.0,0,5
"plan2267","f0cda16885",3,0,351462.0,"Secretary",117154.0,0,3
"plan2266","180dd20a9d",6,0,815004.0,"Project Manager",135834.0,0,6
"plan2265","c2d131fd3b",11,0,1104763.0,"Engineer",100433.0,0,11
"plan2264","85699bb3ac",0,0,0.0,"HR Manager",96845.0,0,0
"plan2263","faee9ae0d9",4,0,461896.0,"Analyst",115474.0,0,4
"plan2261","04b751369a",9,0,1040076.0,"Designer",115564.0,0,9
"plan2260","d8355728b8",9,0,1320642.0,"Associate",146738.0,0,9
"plan2259","50de9eb167",7,0,1048180.0,"Researcher",149740.0,0,7
"plan2258","b3f36b8fd4",8,0,1024648.0,"Head of Marketing and Sales",128081.0,0,8
"plan2257","a70b0b194c",0,0,0.0,"HR Manager",84452.0,0,0
"plan2256","6c32fd7c38",0,0,0.0,"HR Manager",99431.0,0,0
"plan2254","5f999faaab",0,0,0.0,"Project Manager",74930.0,0,0
"plan2253","4fbcea0b20",10,0,848610.0,"Secretary",84861.0,0,10
"plan2252","2d69555e3c",6,0,785604.0,"Associate",130934.0,0,6
"plan2251","d329ac9317",0,0,0.0,"Associate",88398.0,0,0
"plan2250","a117b96fb4",10,0,1170090.0,"Engineer",117009.0,0,10
"plan2249","5f33778132",4,0,300512.0,"Secretary",75128.0,0,4
"plan2247","a905ea25eb",2,0,176444.0,"Analyst",88222.0,0,2
"plan2246","690df18908",9,0,1011717.0,"Administrative Officer",112413.0,0,9
"plan2245","5fd428bd97",7,0,832671.0,"Researcher",118953.0,0,7
"plan2244","0c2e76c7ff",11,0,1622742.0,"Accountant",147522.0,0,11
"plan2243","19263734d7",0,0,0.0,"Analyst",132178.0,0,0
"plan2241","a64bda51cf",5,0,406265.0,"Researcher",81253.0,0,5
"plan2240","2b44f90a34",3,0,233382.0,"Associate",77794.0,0,3
"plan2239","0361905751",9,0,696960.0,"Analyst",77440.0,0,9
"plan2238","8d9a449cb2",8,0,1076248.0,"Business Development Manager",134531.0,0,8
"plan2237","4d0db237ee",6,0,572430.0,"Engineer",95405.0,0,6
"plan2236","b7dbdb21d8",5,0,471630.0,"Engineer",94326.0,0,5
"plan2235","1dcd3cc2c0",7,0,985880.0,"Project Manager",140840.0,0,7
"plan2234","4a9039be3a",2,0,229332.0,"Project Manager",114666.0,0,2
"plan2233","ffa3da2774",0,0,0.0,"Analyst",87921.0,0,0
"plan2231","27f00a3cb3",2,0,121600.0,"Software Developer",60800.0,0,2
"plan2229","e27a730794",2,0,215380.0,"Associate",107690.0,0,2
"plan2228","4b04a6c26c",8,0,810120.0,"Designer",101265.0,0,8
"plan2227","0bb69b0169",11,0,1026333.0,"Business Development Manager",93303.0,0,11
"plan2226","56f134fd17",3,0,280563.0,"Accountant",93521.0,0,3
"plan2225","90814e3b52",9,0,477396.0,"Accountant",53044.0,0,9
"plan2224","ff42bd6fef",0,0,0.0,"Designer",136866.0,0,0
"plan2223","9b89a8f084",8,0,1093896.0,"Associate",136737.0,0,8
"plan2221","a7f5c7b57d",4,0,591176.0,"Business Development Manager",147794.0,0,4
"plan2220","bbed430cb0",10,0,745400.0,"Engineer",74540.0,0,10
"plan2219","28e802ee62",9,0,919593.0,"Administrative Officer",102177.0,0,9
"plan2218","00352a4048",5,0,482270.0,"Accountant",96454.0,0,5
"plan2217","4bcb4ce5e3",9,0,477297.0,"Secretary",53033.0,0,9
"plan2216","e2dab0cd1f",0,0,0.0,"Business Development Manager",61424.0,0,0
"plan2215","73bbdb53b0",0,0,0.0,"Analyst",65368.0,0,0
"plan2213","72bfebd9cc",11,0,1318889.0,"Researcher",119899.0,0,11
"plan2212","23d18cc515",2,0,188994.0,"Associate",94497.0,0,2
"plan2211","bf09ccbbb3",4,0,374448.0,"Researcher",93612.0,0,4
"plan2210","8ef557eb16",5,0,536945.0,"HR Manager",107389.0,0,5
"plan2209","b77ac79800",0,0,0.0,"Software Developer",115755.0,0,0
"plan2208","4ae615f6d0",0,0,0.0,"Secretary",140369.0,0,0
"plan2206","9cd3b64cf1",4,0,416648.0,"Administrative Officer",104162.0,0,4
"plan2205","cf66e655dd",8,0,551128.0,"Secretary",68891.0,0,8
"plan2204","df1237b0d1",9,0,750060.0,"Researcher",83340.0,0,9
"plan2203","d306cdc96e",9,0,679212.0,"Software Developer",75468.0,0,9
"plan2201","84c9f6e60b",9,0,904500.0,"Business Development Manager",100500.0,0,9
"plan2200","03369cc83f",4,0,223948.0,"Administrative Officer",55987.0,0,4
"plan2199","fcdad66376",0,0,0.0,"Associate",52601.0,0,0
"plan2198","f3d4b2df1f",4,0,464772.0,"Analyst",116193.0,0,4
"plan2197","9515483ca3",0,0,0.0,"Engineer",60423.0,0,0
"plan2195","18f6e31d59",9,0,1286145.0,"Associate",142905.0,0,9
"plan2194","8687284bed",0,0,0.0,"Secretary",65872.0,0,0
"plan2193","6c2b6fdb84",5,0,350170.0,"Analyst",70034.0,0,5
"plan2190","9a1cac137b",3,0,436302.0,"Head of Marketing and Sales",145434.0,0,3
"plan2189","6a90261b0b",7,0,844319.0,"Project Manager",120617.0,0,7
"plan2188","5011b85ce9",8,0,1079280.0,"Associate",134910.0,0,8
"plan2187","c997c96405",3,0,393468.0,"Analyst",131156.0,0,3
"plan2186","a9c9a7e240",2,0,106394.0,"HR Manager",53197.0,0,2
"plan2185","f810ba246d",0,0,0.0,"Researcher",85456.0,0,0
"plan2184","5813f1f4ae",0,0,0.0,"Project Manager",110849.0,0,0
"plan2182","a4692147d1",10,0,739640.0,"Researcher",73964.0,0,10
"plan2180","c6455f9165",0,0,0.0,"Accountant",69444.0,0,0
"plan2179","76aaf611a9",11,0,1219031.0,"Head of Marketing and Sales",110821.0,0,11
"plan2174","abb0edd4b4",0,0,0.0,"Engineer",53176.0,0,0
"plan2173","2e916b0c99",2,0,125302.0,"Associate",62651.0,0,2
"plan2170","d35580d396",7,0,575323.0,"Project Manager",82189.0,0,7
"plan2169","b5ba4ac8ca",4,0,589112.0,"Business Development Manager",147278.0,0,4
"plan2168","e2b048116f",8,0,823392.0,"Accountant",102924.0,0,8
"plan2167","4c2af73789",9,0,1155159.0,"Administrative Officer",128351.0,0,9
"plan2165","aa066f0507",3,0,304983.0,"Associate",101661.0,0,3
"plan2164","2b2c967b0a",8,0,921240.0,"Project Manager",115155.0,0,8
"plan2163","177a1cfa5f",9,0,565173.0,"Analyst",62797.0,0,9
"plan2162","780990784b",10,0,566000.0,"Project Manager",56600.0,0,10
"plan2161","8cd3a6667e",0,0,0.0,"Analyst",58791.0,0,0
"plan2160","733b799d94",5,0,689485.0,"Software Developer",137897.0,0,5
"plan2158","4874f169fa",0,0,0.0,"Accountant",87038.0,0,0
"plan2156","ef22db0652",0,0,0.0,"Administrative Officer",75147.0,0,0
"plan2155","06079f734f",0,0,0.0,"Designer",131346.0,0,0
"plan2153","2623bd93c1",3,0,207825.0,"Software Developer",69275.0,0,3
"plan2152","88ca46e99a",11,0,574695.0,"Accountant",52245.0,0,11
"plan2151","5855b7de61",0,0,0.0,"Business Development Manager",132423.0,0,0
"plan2150","e98f0dd98c",0,0,0.0,"Business Development Manager",123990.0,0,0
"plan2149","7e077c116d",11,0,1647481.0,"Engineer",149771.0,0,11
"plan2148","66fb6bd49f",9,0,1209177.0,"Designer",134353.0,0,9
"plan2147","fd0b90cdb3",0,0,0.0,"Analyst",97513.0,0,0
"plan2146","da564e8b05",0,0,0.0,"HR Manager",59355.0,0,0
"plan2145","116a639539",0,0,0.0,"HR Manager",124925.0,0,0
"plan2144","e3ab82cb0a",10,0,1322640.0,"Researcher",132264.0,0,10
"plan2143","5bcf41d7ad",2,0,170660.0,"Analyst",85330.0,0,2
"plan2142","d34359a3e9",2,0,182728.0,"Software Developer",91364.0,0,2
"plan2141","9a37fd06e0",0,0,0.0,"Head of Marketing and Sales",115496.0,0,0
"plan2140","8d04705550",0,0,0.0,"Head of Marketing and Sales",64255.0,0,0
"plan2139","90026a8312",3,0,251322.0,"Associate",83774.0,0,3
"plan2138","15a2a53799",5,0,465930.0,"Software Developer",93186.0,0,5
"plan2136","7048ce005a",5,0,407645.0,"Secretary",81529.0,0,5
"plan2135","35073268e5",3,0,403152.0,"HR Manager",134384.0,0,3
"plan2134","7f19fb0b24",10,0,568020.0,"Analyst",56802.0,0,10
"plan2133","2d2ff47ed7",10,0,849140.0,"Secretary",84914.0,0,10
"plan2132","4fb203289b",9,0,586116.0,"Project Manager",65124.0,0,9
"plan2130","5d76458000",7,0,862134.0,"Secretary",123162.0,0,7
"plan2129","9d4739c8b5",4,0,250004.0,"Project Manager",62501.0,0,4
"plan2128","1d71b8c3ed",0,0,0.0,"Head of Marketing and Sales",77361.0,0,0
"plan2127","985e906131",4,0,241560.0,"Project Manager",60390.0,0,4
"plan2126","31d51b54c2",10,0,703050.0,"HR Manager",70305.0,0,10
"plan2125","0b2914a99d",3,0,393156.0,"Software Developer",131052.0,0,3
"plan2124","0717e60a4e",0,0,0.0,"Administrative Officer",119867.0,0,0
"plan2123","b17568e8eb",5,0,584200.0,"Researcher",116840.0,0,5
"plan2122","6857a3b024",9,0,894906.0,"Associate",99434.0,0,9
"plan2121","9391b4e02f",7,0,440692.0,"Associate",62956.0,0,7
"plan2119","27b318b72b",11,0,1620806.0,"Administrative Officer",147346.0,0,11
"plan2117","2a617acb6b",5,0,560505.0,"Head of Marketing and Sales",112101.0,0,5
"plan2116","a40da9786e",0,0,0.0,"Designer",84087.0,0,0
"plan2115","f54e32b8ec",5,0,654650.0,"Associate",130930.0,0,5
"plan2114","c1c5b6d292",11,0,691471.0,"Designer",62861.0,0,11
"plan2113","5360290110",5,0,318320.0,"Researcher",63664.0,0,5
"plan2112","166e6e199f",8,0,741984.0,"Analyst",92748.0,0,8
"plan2111","ea6d5faed1",0,0,0.0,"Researcher",137383.0,0,0
"plan2110","0ce0f098be",0,0,0.0,"Engineer",69540.0,0,0
"plan2109","73c57e54e5",3,0,256059.0,"Software Developer",85353.0,0,3
"plan2108","6d549efeb7",0,0,0.0,"HR Manager",143270.0,0,0
"plan2106","981843dfaf",0,0,0.0,"Analyst",148806.0,0,0
"plan2105","88f78e6fde",8,0,1055024.0,"Business Development Manager",131878.0,0,8
"plan2103","dc6b2ea620",11,0,601744.0,"Head of Marketing and Sales",54704.0,0,11
"plan2102","6e496a6567",0,0,0.0,"Head of Marketing and Sales",146800.0,0,0
"plan2101","ee177416f3",0,0,0.0,"Project Manager",86407.0,0,0
"plan2100","b2f394f9e9",2,0,213170.0,"HR Manager",106585.0,0,2
"plan2099","5eaaa2e3bb",0,0,0.0,"HR Manager",55354.0,0,0
"plan2094","b4fbe01851",0,0,0.0,"Project Manager",78828.0,0,0
"plan2093","a22ba4a4fb",11,0,1465926.0,"Business Development Manager",133266.0,0,11
"plan2088","d57f191047",11,0,588995.0,"HR Manager",53545.0,0,11
"plan2086","2435b24ac7",8,0,868888.0,"Business Development Manager",108611.0,0,8
"plan2085","c51f1891d7",7,0,782033.0,"Project Manager",111719.0,0,7
"plan2084","e394431caa",0,0,0.0,"Accountant",63922.0,0,0
"plan2082","d5492aae46",10,0,1364590.0,"Analyst",136459.0,0,10
"plan2081","f4aad514e6",4,0,446900.0,"Accountant",111725.0,0,4
"plan2080","9aecc860bb",0,0,0.0,"Software Developer",92463.0,0,0
"plan2079","d350d33c44",3,0,238146.0,"Designer",79382.0,0,3
"plan2078","c1b7cb0804",10,0,1397360.0,"Accountant",139736.0,0,10
"plan2076","89b160d7ec",0,0,0.0,"Secretary",59571.0,0,0
"plan2075","e0531b7f66",4,0,322272.0,"Business Development Manager",80568.0,0,4
"plan2074","8bff0fa48d",0,0,0.0,"Associate",50757.0,0,0
"plan2070","a82276ab1a",2,0,238270.0,"Secretary",119135.0,0,2
"plan2069","4c9de57e00",3,0,232506.0,"Designer",77502.0,0,3
"plan2068","1ea26a4fa9",0,0,0.0,"Accountant",101924.0,0,0
"plan2067","65c7b5eb8a",5,0,732750.0,"Secretary",146550.0,0,5
"plan2066","5f5ee0065e",0,0,0.0,"Researcher",134424.0,0,0
"plan2065","2602d9f593",0,0,0.0,"Associate",127370.0,0,0
"plan2063","55a6be5be9",0,0,0.0,"Accountant",57041.0,0,0
"plan2062","a8a110c27a",0,0,0.0,"Designer",72309.0,0,0
"plan2059","bb31e6bd8a",6,0,700596.0,"Designer",116766.0,0,6
"plan2058","271f7be006",2,0,278362.0,"Engineer",139181.0,0,2
"plan2057","7ac9c6f653",10,0,659980.0,"Designer",65998.0,0,10
"plan2051","dce3829bba",0,0,0.0,"Analyst",73451.0,0,0
"plan2049","6675e50f27",9,0,807516.0,"Project Manager",89724.0,0,9
"plan2047","28533bb3b5",0,0,0.0,"Designer",111241.0,0,0
"plan2046","c99f988f57",4,0,386204.0,"Project Manager",96551.0,0,4
"plan2043","346bc6790c",5,0,681490.0,"Accountant",136298.0,0,5
"plan2042","0110109f51",7,0,466235.0,"Head of Marketing and Sales",66605.0,0,7
"plan2041","2be30c565e",6,0,665484.0,"Researcher",110914.0,0,6
"plan2040","9ca9610a16",5,0,305745.0,"Engineer",61149.0,0,5
"plan2039","0495482914",0,0,0.0,"Administrative Officer",109514.0,0,0
"plan2038","b49bcc4f84",0,0,0.0,"HR Manager",121988.0,0,0
"plan2037","5db6cb7f43",6,0,622716.0,"Administrative Officer",103786.0,0,6
"plan2035","4f66f423a0",0,0,0.0,"Head of Marketing and Sales",77768.0,0,0
"plan2034","13aebf53aa",0,0,0.0,"Head of Marketing and Sales",83921.0,0,0
"plan2032","3bef650f3e",2,0,140730.0,"Analyst",70365.0,0,2
"plan2031","dd6147ed95",10,0,1373100.0,"Accountant",137310.0,0,10
"plan2030","9c90097157",4,0,502804.0,"Researcher",125701.0,0,4
"plan2029","63fa5f21ba",11,0,932360.0,"Accountant",84760.0,0,11
"plan2028","ca1b576851",0,0,0.0,"Designer",58059.0,0,0
"plan2027","9d3d5965e2",0,0,0.0,"Accountant",105918.0,0,0
"plan2026","d9ff506f90",2,0,143792.0,"HR Manager",71896.0,0,2
"plan2022","fd2fa297a9",0,0,0.0,"HR Manager",80196.0,0,0
"plan2021","7ed6849338",10,0,1184460.0,"Software Developer",118446.0,0,10
"plan2019","2aedb4b94b",6,0,565764.0,"Designer",94294.0,0,6
"plan2017","8c1f463d14",2,0,211634.0,"Administrative Officer",105817.0,0,2
"plan2016","b8c4dd6347",10,0,519020.0,"Secretary",51902.0,0,10
"plan2015","4205df7af1",7,0,981309.0,"Engineer",140187.0,0,7
"plan2014","4390799268",4,0,355116.0,"Business Development Manager",88779.0,0,4
"plan2013","e40f93527b",10,0,1375180.0,"Secretary",137518.0,0,10
"plan2012","2f48fdb24d",0,0,0.0,"Associate",65836.0,0,0
"plan2011","e8cc4b5118",0,0,0.0,"Administrative Officer",76917.0,0,0
"plan2010","9eae7204ed",0,0,0.0,"Engineer",79615.0,0,0
"plan2008","6fb28c15d3",6,0,790884.0,"HR Manager",131814.0,0,6
"plan2007","2b94d3c120",2,0,198558.0,"Project Manager",99279.0,0,2
"plan2006","d33ff884dd",5,0,428990.0,"Associate",85798.0,0,5
"plan2005","a6f0d168ce",0,0,0.0,"Head of Marketing and Sales",79919.0,0,0
"plan2004","723789e035",10,0,1242890.0,"Software Developer",124289.0,0,10
"plan2002","9a0c7eb7bb",5,0,720970.0,"Analyst",144194.0,0,5
"plan2001","7a6bb7e6b7",11,0,1009712.0,"Project Manager",91792.0,0,11
"plan2000","3f9bde6ff0",11,0,1380588.0,"Analyst",125508.0,0,11
"plan1999","0c8a5f3e24",9,0,1212390.0,"Engineer",134710.0,0,9
"plan1998","d561e89a81",10,0,672310.0,"Business Development Manager",67231.0,0,10
"plan1995","3b9e20a4c2",0,0,0.0,"Administrative Officer",107331.0,0,0
"plan1994","e2ec1a759f",0,0,0.0,"HR Manager",106443.0,0,0
"plan1990","406b34fd38",3,0,305553.0,"Administrative Officer",101851.0,0,3
"plan1988","993e815aca",8,0,757416.0,"Designer",94677.0,0,8
"plan1986","8ffb973349",0,0,0.0,"Business Development Manager",110399.0,0,0
"plan1985","8c2cd37618",11,0,1129414.0,"Software Developer",102674.0,0,11
"plan1982","842f61697d",9,0,511857.0,"HR Manager",56873.0,0,9
"plan1981","53fc42b542",6,0,882378.0,"Analyst",147063.0,0,6
"plan1980","debf5f3b39",2,0,274032.0,"HR Manager",137016.0,0,2
"plan1979","27e9234c67",9,0,1035666.0,"Designer",115074.0,0,9
"plan1978","f048ff9f5d",8,0,925816.0,"Project Manager",115727.0,0,8
"plan1977","0278fde1c0",3,0,416808.0,"HR Manager",138936.0,0,3
"plan1976","155a4d39e5",10,0,980390.0,"Accountant",98039.0,0,10
"plan1975","9e8596ae3d",8,0,1032080.0,"HR Manager",129010.0,0,8
"plan1974","f6fa8c79f4",2,0,217530.0,"Designer",108765.0,0,2
"plan1973","15bbfcc489",6,0,827400.0,"Project Manager",137900.0,0,6
"plan1972","7f60fb983d",8,0,795696.0,"HR Manager",99462.0,0,8
"plan1970","e80b349550",8,0,1197568.0,"Software Developer",149696.0,0,8
"plan1969","7b45873592",5,0,540315.0,"Designer",108063.0,0,5
"plan1968","a349542705",4,0,224100.0,"Associate",56025.0,0,4
"plan1967","a4c923f416",4,0,401824.0,"Designer",100456.0,0,4
"plan1964","5b94528a24",0,0,0.0,"Business Development Manager",89307.0,0,0
"plan1962","ec267505a9",0,0,0.0,"Accountant",84027.0,0,0
"plan1959","4f7cd26bd6",9,0,1343646.0,"Project Manager",149294.0,0,9
"plan1958","9dd779d8a2",7,0,718900.0,"Software Developer",102700.0,0,7
"plan1957","c0c2a87fc4",0,0,0.0,"Head of Marketing and Sales",79377.0,0,0
"plan1956","5308746907",11,0,934340.0,"Analyst",84940.0,0,11
"plan1954","39d3a93cbf",0,0,0.0,"Business Development Manager",111469.0,0,0
"plan1953","4830027c6a",0,0,0.0,"HR Manager",72712.0,0,0
"plan1952","1d07e3f0ac",0,0,0.0,"Administrative Officer",122632.0,0,0
"plan1951","11237f5b9a",11,0,879351.0,"Software Developer",79941.0,0,11
"plan1948","99680669a7",11,0,770506.0,"Head of Marketing and Sales",70046.0,0,11
"plan1947","00c5852b7d",9,0,1164015.0,"Business Development Manager",129335.0,0,9
"plan1946","11823e3652",6,0,803370.0,"Analyst",133895.0,0,6
"plan1945","42d0cb2794",3,0,438189.0,"Designer",146063.0,0,3
"plan1944","5121a27731",9,0,644517.0,"Associate",71613.0,0,9
"plan1943","9cdb5e1508",6,0,311298.0,"Administrative Officer",51883.0,0,6
"plan1942","44ac677f8b",2,0,221968.0,"Administrative Officer",110984.0,0,2
"plan1941","aedc93b0bf",0,0,0.0,"Engineer",65085.0,0,0
"plan1940","d275b9aae8",3,0,280452.0,"Software Developer",93484.0,0,3
"plan1937","d94dd19fd5",8,0,664960.0,"Secretary",83120.0,0,8
"plan1936","420b4610cd",2,0,221020.0,"Secretary",110510.0,0,2
"plan1935","0572ddea27",2,0,119400.0,"Administrative Officer",59700.0,0,2
"plan1934","65787db087",5,0,527255.0,"Designer",105451.0,0,5
"plan1933","1a3debb2c8",9,0,1323702.0,"Analyst",147078.0,0,9
"plan1932","637bee2d13",4,0,286824.0,"Business Development Manager",71706.0,0,4
"plan1931","8864ac1146",0,0,0.0,"Analyst",117062.0,0,0
"plan1929","03c33be0d9",0,0,0.0,"Head of Marketing and Sales",106440.0,0,0
"plan1928","06b032c9f4",3,0,323760.0,"Administrative Officer",107920.0,0,3
"plan1926","ae51244b62",4,0,482980.0,"Designer",120745.0,0,4
"plan1925","856b80facd",2,0,282936.0,"Software Developer",141468.0,0,2
"plan1924","37d6632b0f",0,0,0.0,"Designer",115548.0,0,0
"plan1922","c13303c50d",4,0,251008.0,"Accountant",62752.0,0,4
"plan1921","11f5045355",4,0,386984.0,"Head of Marketing and Sales",96746.0,0,4
"plan1920","f2d4722ea6",7,0,921522.0,"Head of Marketing and Sales",131646.0,0,7
"plan1919","a4afeef3d4",7,0,1038772.0,"Engineer",148396.0,0,7
